task,person,occasion,unit,unit_type,value
dot_memory,342,3,1,trial,3.3333333333333335
dot_memory,342,3,2,trial,5.6903559372884915
dot_memory,342,3,3,trial,5
dot_memory,343,1,1,trial,0
dot_memory,343,1,2,trial,9.41713589978814
dot_memory,343,1,3,trial,4.0236892706218255
dot_memory,343,2,1,trial,1.6666666666666667
dot_memory,343,2,2,trial,5.393446629166316
dot_memory,343,2,3,trial,4.0236892706218255
dot_memory,343,3,1,trial,3.3333333333333335
dot_memory,343,3,2,trial,5.6903559372884915
dot_memory,343,3,3,trial,7.060113295832983
dot_memory,346,1,1,trial,5.6903559372884915
dot_memory,346,1,2,trial,5
dot_memory,346,1,3,trial,8.333333333333334
dot_memory,346,2,1,trial,2.3570226039551585
dot_memory,346,2,2,trial,4.0236892706218255
dot_memory,346,2,3,trial,1.6666666666666667
dot_memory,346,3,1,trial,0
dot_memory,346,3,2,trial,1.6666666666666667
dot_memory,346,3,3,trial,5
dot_memory,347,1,1,trial,5
dot_memory,347,1,2,trial,8.72677996249965
dot_memory,347,1,3,trial,3.3333333333333335
dot_memory,347,2,1,trial,4.0236892706218255
dot_memory,347,2,2,trial,0
dot_memory,347,2,3,trial,1.6666666666666667
dot_memory,347,3,1,trial,5
dot_memory,347,3,2,trial,0
dot_memory,347,3,3,trial,1.6666666666666667
dot_memory,348,1,1,trial,1.6666666666666667
dot_memory,348,1,2,trial,0
dot_memory,348,1,3,trial,0
dot_memory,348,2,1,trial,0
dot_memory,348,2,2,trial,0
dot_memory,348,2,3,trial,3.3333333333333335
dot_memory,348,3,1,trial,1.6666666666666667
dot_memory,348,3,2,trial,0
dot_memory,348,3,3,trial,4.0236892706218255
dot_memory,349,1,1,trial,4.0236892706218255
dot_memory,349,1,2,trial,6.380711874576984
dot_memory,349,1,3,trial,4.0236892706218255
dot_memory,349,2,1,trial,5
dot_memory,349,2,2,trial,4.0236892706218255
dot_memory,349,2,3,trial,4.0236892706218255
dot_memory,349,3,1,trial,5.6903559372884915
dot_memory,349,3,2,trial,6.380711874576984
dot_memory,349,3,3,trial,5
dot_memory,351,1,1,trial,5.6903559372884915
dot_memory,351,1,2,trial,5.6903559372884915
dot_memory,351,1,3,trial,0
dot_memory,351,2,1,trial,1.6666666666666667
dot_memory,351,2,2,trial,5
dot_memory,351,2,3,trial,3.3333333333333335
dot_memory,351,3,1,trial,2.3570226039551585
dot_memory,351,3,2,trial,5
dot_memory,351,3,3,trial,0
dot_memory,352,1,1,trial,5
dot_memory,352,1,2,trial,1.6666666666666667
dot_memory,352,1,3,trial,5
dot_memory,352,2,1,trial,0
dot_memory,352,2,2,trial,0
dot_memory,352,2,3,trial,5
dot_memory,352,3,1,trial,1.6666666666666667
