id,session,session_seq,visit_id,trial,dot,distance
321,2,2,321_2_2024-02-05,2,2,0
321,2,2,321_2_2024-02-05,2,3,0
321,2,2,321_2_2024-02-05,3,1,0
321,2,2,321_2_2024-02-05,3,2,0
321,2,2,321_2_2024-02-05,3,3,5
321,3,3,321_3_2024-02-05,1,1,5
321,3,3,321_3_2024-02-05,1,2,0
321,3,3,321_3_2024-02-05,1,3,0
321,3,3,321_3_2024-02-05,2,1,0
321,3,3,321_3_2024-02-05,2,2,5
321,3,3,321_3_2024-02-05,2,3,0
321,3,3,321_3_2024-02-05,3,1,0
321,3,3,321_3_2024-02-05,3,2,5
321,3,3,321_3_2024-02-05,3,3,0
322,1,1,322_1_2024-02-13,1,1,5
322,1,1,322_1_2024-02-13,1,2,5
322,1,1,322_1_2024-02-13,1,3,0
322,1,1,322_1_2024-02-13,2,1,5
322,1,1,322_1_2024-02-13,2,2,0
322,1,1,322_1_2024-02-13,2,3,0
322,1,1,322_1_2024-02-13,3,1,0
322,1,1,322_1_2024-02-13,3,2,0
322,1,1,322_1_2024-02-13,3,3,7.0710678118654755
322,2,2,322_2_2024-02-13,1,1,0
322,2,2,322_2_2024-02-13,1,2,7.0710678118654755
322,2,2,322_2_2024-02-13,1,3,0
322,2,2,322_2_2024-02-13,2,1,5
322,2,2,322_2_2024-02-13,2,2,7.0710678118654755
322,2,2,322_2_2024-02-13,2,3,7.0710678118654755
322,2,2,322_2_2024-02-13,3,1,5
322,2,2,322_2_2024-02-13,3,2,10
322,2,2,322_2_2024-02-13,3,3,7.0710678118654755
322,3,3,322_3_2024-02-13,1,1,7.0710678118654755
322,3,3,322_3_2024-02-13,1,2,0
322,3,3,322_3_2024-02-13,1,3,0
322,3,3,322_3_2024-02-13,2,1,5
322,3,3,322_3_2024-02-13,2,2,0
322,3,3,322_3_2024-02-13,2,3,7.0710678118654755
322,3,3,322_3_2024-02-13,3,1,5
322,3,3,322_3_2024-02-13,3,2,0
322,3,3,322_3_2024-02-13,3,3,0
323,1,1,323_1_2024-02-19,1,1,5
323,1,1,323_1_2024-02-19,1,2,0
323,1,1,323_1_2024-02-19,1,3,5
323,1,1,323_1_2024-02-19,2,1,0
323,1,1,323_1_2024-02-19,2,2,0
323,1,1,323_1_2024-02-19,2,3,0
323,1,1,323_1_2024-02-19,3,1,5
323,1,1,323_1_2024-02-19,3,2,0
323,1,1,323_1_2024-02-19,3,3,7.0710678118654755
323,2,2,323_2_2024-02-19,1,1,5
323,2,2,323_2_2024-02-19,1,2,7.0710678118654755
323,2,2,323_2_2024-02-19,1,3,0
323,2,2,323_2_2024-02-19,2,1,5
323,2,2,323_2_2024-02-19,2,2,10
323,2,2,323_2_2024-02-19,2,3,5
323,2,2,323_2_2024-02-19,3,1,0
323,2,2,323_2_2024-02-19,3,2,0
323,2,2,323_2_2024-02-19,3,3,11.180339887498949
323,3,3,323_3_2024-02-19,1,1,0
323,3,3,323_3_2024-02-19,1,2,0
323,3,3,323_3_2024-02-19,1,3,0
323,3,3,323_3_2024-02-19,2,1,0
323,3,3,323_3_2024-02-19,2,2,0
323,3,3,323_3_2024-02-19,2,3,0
323,3,3,323_3_2024-02-19,3,1,5
323,3,3,323_3_2024-02-19,3,2,5
323,3,3,323_3_2024-02-19,3,3,5
324,1,1,324_1_2024-02-28,1,1,7.0710678118654755
324,1,1,324_1_2024-02-28,1,2,5
324,1,1,324_1_2024-02-28,1,3,0
324,1,1,324_1_2024-02-28,2,1,5
324,1,1,324_1_2024-02-28,2,2,5
324,1,1,324_1_2024-02-28,2,3,0
324,1,1,324_1_2024-02-28,3,1,0
324,1,1,324_1_2024-02-28,3,2,0
324,1,1,324_1_2024-02-28,3,3,0
324,2,2,324_2_2024-02-28,1,1,5
324,2,2,324_2_2024-02-28,1,2,5
324,2,2,324_2_2024-02-28,1,3,5
324,2,2,324_2_2024-02-28,2,1,5
324,2,2,324_2_2024-02-28,2,2,7.0710678118654755
324,2,2,324_2_2024-02-28,2,3,0
324,2,2,324_2_2024-02-28,3,1,5
324,2,2,324_2_2024-02-28,3,2,0
324,2,2,324_2_2024-02-28,3,3,5
324,3,3,324_3_2024-02-28,1,1,0
324,3,3,324_3_2024-02-28,1,2,7.0710678118654755
324,3,3,324_3_2024-02-28,1,3,5
324,3,3,324_3_2024-02-28,2,1,0
324,3,3,324_3_2024-02-28,2,2,5
324,3,3,324_3_2024-02-28,2,3,7.0710678118654755
324,3,3,324_3_2024-02-28,3,1,0
324,3,3,324_3_2024-02-28,3,2,5
